global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
23800,0.000608,0.001214,0.001982,0.006482,0.000916,0.000795,0.000791,0.002232,0.001636,0.000774
23900,0.000616,0.001248,0.002033,0.006799,0.000919,0.000795,0.000821,0.002197,0.001735,0.000769
24000,0.000620,0.001232,0.002080,0.007316,0.000917,0.000805,0.000801,0.002205,0.001656,0.000811
24100,0.000619,0.001205,0.002018,0.006895,0.000933,0.000805,0.000806,0.002227,0.001677,0.000780
24200,0.000612,0.001260,0.002039,0.006799,0.000939,0.000783,0.000812,0.002196,0.001642,0.000753
24300,0.000622,0.001200,0.002039,0.006777,0.000933,0.000823,0.000792,0.002194,0.001721,0.000794
24400,0.000630,0.001356,0.002016,0.006356,0.000909,0.000789,0.000799,0.002194,0.001654,0.000732
24500,0.000633,0.001230,0.002073,0.007643,0.000939,0.000811,0.000825,0.002185,0.001645,0.000798
24600,0.000612,0.001296,0.002052,0.006343,0.000911,0.000822,0.000816,0.002199,0.001779,0.000785
24700,0.000613,0.001198,0.002068,0.007117,0.000921,0.000793,0.000821,0.002199,0.001648,0.000795
24800,0.000600,0.001210,0.002002,0.007067,0.000909,0.000809,0.000798,0.002195,0.001675,0.000760
24900,0.000605,0.001156,0.002075,0.006654,0.000946,0.000797,0.000812,0.002202,0.001683,0.000792
25000,0.000601,0.001124,0.002062,0.006637,0.000899,0.000795,0.000823,0.002199,0.001669,0.000762
25100,0.000621,0.001208,0.002080,0.006769,0.000935,0.000790,0.000808,0.002231,0.001724,0.000789
25200,0.000629,0.001246,0.002069,0.007207,0.000930,0.000804,0.000811,0.002212,0.001670,0.000768
25300,0.000606,0.001345,0.002056,0.006430,0.000940,0.000821,0.000838,0.002220,0.001713,0.000779
25400,0.000619,0.001368,0.002121,0.006534,0.000939,0.000814,0.000813,0.002203,0.001713,0.000776
25500,0.000606,0.001454,0.002058,0.006768,0.000920,0.000811,0.000797,0.002196,0.001661,0.000760
25600,0.000611,0.001468,0.002036,0.007082,0.000894,0.000770,0.000812,0.002198,0.001713,0.000796
25700,0.000593,0.001241,0.002057,0.007278,0.000915,0.000790,0.000817,0.002181,0.001705,0.000772
25800,0.000617,0.001352,0.002071,0.006558,0.000929,0.000787,0.000791,0.002211,0.001716,0.000766
25900,0.000606,0.001436,0.002105,0.005815,0.000935,0.000808,0.000822,0.002204,0.001737,0.000785
26000,0.000845,0.001281,0.002293,0.018397,0.000984,0.000924,0.001046,0.002457,0.002068,0.001550
26100,0.001099,0.001716,0.002683,0.014740,0.001328,0.001420,0.001342,0.004049,0.003045,0.001604
26200,0.000907,0.001553,0.002689,0.009399,0.001431,0.001046,0.001183,0.002403,0.002169,0.000990
26300,0.001251,0.001322,0.002310,0.008251,0.001216,0.001127,0.001083,0.002440,0.001975,0.001382
26400,0.000787,0.001228,0.002115,0.007788,0.001049,0.000877,0.000880,0.002328,0.001750,0.001023
26500,0.000718,0.001181,0.002116,0.006821,0.001008,0.000856,0.000872,0.002249,0.001969,0.001022
26600,0.000688,0.001112,0.002068,0.007410,0.000955,0.000815,0.000844,0.002279,0.001800,0.000856
26700,0.000634,0.001184,0.002053,0.007103,0.000948,0.000828,0.000824,0.002224,0.001737,0.000826
26800,0.000654,0.001227,0.002083,0.007076,0.000941,0.000831,0.000846,0.002224,0.001693,0.000811
