global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch
42300,0.002157,0.001688,0.008739,0.008027
42400,0.002172,0.001710,0.008742,0.008274
42500,0.002174,0.001654,0.008747,0.008622
42600,0.002152,0.001558,0.008717,0.008750
42700,0.002153,0.001660,0.008749,0.008446
42800,0.002150,0.001717,0.008741,0.008535
42900,0.002158,0.001732,0.008725,0.008781
43000,0.008935,0.002122,0.009216,0.014996
43100,0.003340,0.002929,0.009441,0.010869
43200,0.002484,0.002067,0.008929,0.008806
43300,0.003159,0.001744,0.008842,0.009001
43400,0.002265,0.001552,0.008818,0.008131
43500,0.002251,0.001669,0.008806,0.008931
43600,0.002243,0.001631,0.008797,0.008377
43700,0.002238,0.001556,0.008787,0.008828
43800,0.002233,0.001582,0.008795,0.008376
43900,0.002221,0.001567,0.008801,0.007880
44000,0.002214,0.001608,0.008774,0.008981
44100,0.002200,0.001519,0.008793,0.008195
44200,0.002191,0.001497,0.008764,0.008488
44300,0.002196,0.001507,0.008766,0.008012
44400,0.002181,0.001614,0.008749,0.007694
44500,0.002186,0.001625,0.008746,0.008700
44600,0.002182,0.001573,0.008748,0.008554
44700,0.002180,0.001624,0.008763,0.008275
44800,0.002177,0.001610,0.008737,0.008529
44900,0.002160,0.001525,0.008761,0.008227
45000,0.002193,0.001566,0.008728,0.008318
45100,0.002166,0.001548,0.008753,0.008031
45200,0.002172,0.001607,0.008736,0.008472
45300,0.002169,0.001638,0.008737,0.008280
45400,0.002166,0.001563,0.008740,0.007939
45500,0.002177,0.001571,0.008746,0.008019
45600,0.002158,0.001558,0.008737,0.008264
45700,0.002158,0.001535,0.008730,0.008486
45800,0.002186,0.001544,0.008745,0.008078
45900,0.002145,0.001681,0.008737,0.008011
46000,0.002156,0.001532,0.008725,0.008041
46100,0.002161,0.001701,0.008729,0.008010
46200,0.002162,0.001709,0.008745,0.008160
46300,0.002164,0.001627,0.008729,0.008219
46400,0.002161,0.001582,0.008725,0.008265
46500,0.002156,0.001607,0.008728,0.008260
46600,0.002151,0.001590,0.008707,0.008316
46700,0.002153,0.001653,0.008738,0.008077
46800,0.002150,0.001641,0.008716,0.008288
46900,0.002159,0.001615,0.008729,0.008505
47000,0.002141,0.001565,0.008718,0.008211
47100,0.002155,0.001620,0.008701,0.008100
47200,0.002150,0.001691,0.008722,0.008394
47300,0.002152,0.001644,0.008712,0.008545
47400,0.002152,0.001645,0.008713,0.008634
47500,0.002135,0.001569,0.008720,0.008383
47600,0.002129,0.001510,0.008704,0.008733
47700,0.002139,0.001795,0.008708,0.008051
47800,0.002143,0.001519,0.008718,0.008574
47900,0.002171,0.001622,0.008723,0.008127
48000,0.002126,0.001729,0.008711,0.008788
48100,0.002119,0.001591,0.008723,0.007746
48200,0.002121,0.001822,0.008718,0.008641
48300,0.002132,0.001679,0.008710,0.008483
48400,0.002137,0.001622,0.008708,0.007975
48500,0.002147,0.001689,0.008697,0.008037
48600,0.002132,0.001601,0.008709,0.008200
48700,0.002141,0.001662,0.008717,0.007866
48800,0.002113,0.001690,0.008755,0.008470
48900,0.002885,0.003509,0.009293,0.019712
49000,0.002404,0.002204,0.008836,0.008930
49100,0.002202,0.001709,0.008767,0.008520
49200,0.002189,0.001766,0.008774,0.008453
49300,0.002167,0.001698,0.008750,0.007992
