global_batch,control_batch,arrow_task_batch,qa_task_batch
58400,0.000651,0.001673,0.000988
58500,0.000653,0.001720,0.000985
58600,0.000662,0.001582,0.000992
58700,0.000646,0.001563,0.000976
58800,0.000624,0.001540,0.001003
58900,0.000693,0.001504,0.000975
59000,0.000635,0.001534,0.000961
59100,0.000653,0.001586,0.000989
59200,0.000643,0.001611,0.000974
59300,0.000624,0.001565,0.001003
59400,0.000639,0.001550,0.000958
59500,0.000647,0.001558,0.000977
59600,0.000620,0.001577,0.000965
59700,0.000636,0.001598,0.000952
59800,0.000685,0.001690,0.000965
59900,0.000701,0.001694,0.000975
60000,0.000646,0.001576,0.000967
60100,0.000638,0.001647,0.001002
60200,0.000640,0.001564,0.000987
60300,0.000656,0.001524,0.000978
60400,0.000641,0.001600,0.000986
60500,0.000624,0.001566,0.000976
60600,0.000676,0.001490,0.000946
60700,0.000621,0.001493,0.000966
60800,0.000635,0.001594,0.000977
60900,0.000643,0.001536,0.000973
61000,0.000628,0.001565,0.000967
61100,0.000627,0.001572,0.000973
61200,0.000652,0.001534,0.000974
61300,0.000657,0.001562,0.000960
61400,0.000625,0.001590,0.000953
61500,0.000657,0.001558,0.000992
61600,0.000645,0.001536,0.000948
61700,0.000631,0.001506,0.000964
61800,0.000631,0.001515,0.000953
61900,0.000633,0.001578,0.000980
62000,0.000625,0.001515,0.000960
62100,0.000629,0.001524,0.000958
62200,0.000632,0.001553,0.000936
62300,0.000619,0.001525,0.000933
62400,0.000637,0.001535,0.000983
62500,0.000642,0.001532,0.000971
62600,0.000746,0.001560,0.000989
62700,0.000628,0.001478,0.000983
62800,0.000624,0.001566,0.000965
62900,0.000625,0.001553,0.000967
63000,0.000601,0.001498,0.000942
63100,0.000636,0.001594,0.000955
63200,0.000631,0.001707,0.000962
63300,0.000666,0.001697,0.000970
63400,0.000621,0.001541,0.000964
63500,0.000636,0.001562,0.000995
63600,0.000624,0.001498,0.000976
63700,0.000618,0.001542,0.000968
63800,0.000603,0.001541,0.000958
63900,0.000597,0.001479,0.000965
64000,0.000603,0.001499,0.000957
64100,0.000603,0.001557,0.000961
64200,0.000621,0.001624,0.000944
64300,0.000611,0.001454,0.000959
64400,0.000639,0.001446,0.000961
64500,0.000640,0.001447,0.000982
64600,0.000627,0.001491,0.000961
64700,0.000599,0.001639,0.000939
64800,0.000609,0.001436,0.000963
64900,0.000608,0.001438,0.000965
65000,0.000620,0.001568,0.000963
65100,0.000645,0.001513,0.000985
65200,0.000688,0.001609,0.000976
65300,0.000582,0.001473,0.000968
65400,0.000602,0.001500,0.000970
65500,0.000643,0.001446,0.000984
65600,0.000602,0.001603,0.000948
65700,0.000630,0.001557,0.000971
65800,0.000603,0.001494,0.000970
65900,0.000627,0.001480,0.000949
66000,0.000623,0.001553,0.000934
66100,0.000611,0.001471,0.000986
66200,0.000630,0.001593,0.000957
66300,0.000628,0.001517,0.000952
66400,0.000606,0.001517,0.000956
66500,0.000603,0.001463,0.000972
66600,0.000611,0.001522,0.000955
66700,0.000608,0.001514,0.000958
66800,0.000596,0.001498,0.000971
66900,0.000605,0.001523,0.000951
67000,0.000581,0.001451,0.000946
67100,0.000624,0.001491,0.000954
67200,0.000616,0.001453,0.000962
67300,0.000610,0.001413,0.000936
67400,0.000590,0.001431,0.000955
67500,0.000596,0.001450,0.000955
67600,0.000621,0.001565,0.000978
67700,0.000588,0.001537,0.000953
67800,0.000625,0.001451,0.000970
67900,0.000619,0.001505,0.000968
68000,0.000608,0.001514,0.000956
68100,0.000605,0.001441,0.000954
68200,0.000575,0.001455,0.000953
68300,0.000609,0.001501,0.000959
68400,0.000600,0.001438,0.000946
68500,0.000674,0.001447,0.000956
68600,0.000638,0.001470,0.000946
68700,0.000618,0.001523,0.000960
68800,0.000607,0.001490,0.000973
68900,0.000613,0.001447,0.000955
69000,0.000595,0.001462,0.000958
69100,0.000587,0.001575,0.000951
69200,0.000613,0.001396,0.000949
69300,0.000610,0.001493,0.000939
69400,0.000623,0.001481,0.000973
69500,0.000601,0.001429,0.000957
69600,0.000641,0.001473,0.000969
69700,0.000569,0.001465,0.000952
69800,0.000595,0.001626,0.000956
69900,0.000587,0.001497,0.000977
70000,0.000600,0.001499,0.000937
70100,0.000565,0.001452,0.000959
70200,0.000588,0.001452,0.000980
70300,0.000600,0.001416,0.000948
70400,0.000578,0.001470,0.000942
70500,0.000571,0.001510,0.000953
70600,0.000597,0.001428,0.000958
70700,0.000591,0.001412,0.000968
70800,0.000601,0.001538,0.000930
70900,0.000597,0.001468,0.000969
71000,0.000605,0.001478,0.000969
71100,0.000588,0.001536,0.000968
71200,0.000611,0.001510,0.000967
71300,0.000592,0.001478,0.000949
71400,0.000609,0.001429,0.000956
71500,0.000575,0.001412,0.000959
71600,0.000578,0.001451,0.000953
71700,0.000598,0.001411,0.000939
71800,0.000607,0.001459,0.000941
71900,0.000591,0.001466,0.000950
72000,0.000578,0.001484,0.000960
72100,0.000586,0.001502,0.000958
72200,0.000583,0.001418,0.000932
72300,0.000591,0.001414,0.000951
72400,0.000602,0.001424,0.000972
72500,0.000601,0.001462,0.000953
72600,0.000622,0.001448,0.000952
72700,0.000599,0.001464,0.000948
72800,0.000580,0.001382,0.000946
72900,0.000580,0.001431,0.000947
73000,0.000616,0.001431,0.000922
73100,0.000573,0.001449,0.000956
73200,0.000552,0.001442,0.000966
73300,0.000565,0.001514,0.000957
73400,0.000595,0.001422,0.000949
73500,0.001140,0.001484,0.000964
73600,0.001050,0.001549,0.001108
73700,0.000642,0.001427,0.000968
73800,0.000606,0.001383,0.000967
73900,0.000607,0.001390,0.000935
74000,0.000595,0.001396,0.000962
74100,0.000590,0.001480,0.000937
74200,0.000600,0.001432,0.000950
74300,0.000587,0.001466,0.000969
74400,0.000586,0.001439,0.000940
74500,0.000592,0.001388,0.000948
74600,0.000566,0.001426,0.000949
74700,0.000579,0.001388,0.000945
74800,0.000591,0.001478,0.000939
74900,0.000555,0.001463,0.000938
75000,0.000601,0.001402,0.000965
75100,0.000579,0.001412,0.000928
75200,0.000566,0.001352,0.000958
75300,0.000577,0.001450,0.000965
75400,0.000569,0.001477,0.000921
75500,0.000570,0.001419,0.000956
75600,0.000570,0.001392,0.000937
75700,0.000570,0.001380,0.000930
75800,0.000595,0.001510,0.000928
75900,0.000577,0.001457,0.000940
76000,0.000566,0.001369,0.000945
76100,0.000604,0.001398,0.000946
