global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch
11700,0.000583,0.000946,0.003081,0.006351,0.001138,0.001000,0.001001,0.002103,0.002352,0.000701,0.000297
11800,0.000583,0.000959,0.003081,0.006235,0.001145,0.001003,0.001000,0.002109,0.003217,0.000670,0.000302
11900,0.000597,0.000965,0.003078,0.006457,0.001154,0.000999,0.001003,0.002166,0.002684,0.000657,0.000306
12000,0.000599,0.000967,0.003086,0.007346,0.001145,0.001004,0.001001,0.002171,0.002194,0.000633,0.000314
12100,0.000591,0.000923,0.003085,0.006220,0.001132,0.001003,0.001001,0.002134,0.002438,0.000680,0.000295
12200,0.000565,0.001029,0.003079,0.007003,0.001144,0.000998,0.000998,0.002068,0.002190,0.000719,0.000318
12300,0.000583,0.000940,0.003083,0.005788,0.001146,0.001001,0.000999,0.002164,0.002767,0.000596,0.000313
12400,0.000577,0.001043,0.003081,0.006938,0.001134,0.001001,0.001000,0.002104,0.002635,0.000705,0.000289
12500,0.000595,0.000989,0.003074,0.008459,0.001137,0.001000,0.001002,0.002173,0.002218,0.000603,0.000314
12600,0.000603,0.001000,0.003081,0.007167,0.001138,0.000996,0.000999,0.002128,0.002380,0.000692,0.000299
12700,0.000573,0.000945,0.003074,0.007133,0.001145,0.001003,0.001001,0.002113,0.002866,0.000621,0.000300
12800,0.000630,0.000952,0.003087,0.006325,0.001138,0.001002,0.001000,0.002135,0.002446,0.000509,0.000309
12900,0.000576,0.000952,0.003077,0.006981,0.001145,0.000997,0.000996,0.002123,0.002544,0.000639,0.000302
13000,0.000596,0.000927,0.003083,0.006799,0.001141,0.000999,0.000999,0.002122,inf,0.000630,0.000292
13100,0.000574,0.001047,0.003078,0.006236,0.001139,0.000998,0.001000,0.002128,0.002356,0.000677,0.000301
13200,0.000578,0.001051,0.003085,0.007142,0.001135,0.001000,0.001000,0.002131,0.002713,0.000676,0.000298
13300,0.000582,0.000994,0.003075,0.007315,0.001144,0.001002,0.001003,0.002163,0.002351,0.000610,0.000311
13400,0.000567,0.001005,0.003083,0.005852,0.001138,0.001001,0.001001,0.002162,0.002408,inf,0.000302
13500,0.000608,0.000967,0.003078,0.006740,0.001140,0.000999,0.000999,0.002118,0.002498,0.000689,0.000306
13600,0.000619,0.000975,0.003082,0.007146,0.001128,0.000997,0.000999,0.002094,0.002949,0.000598,0.000296
13700,0.000583,0.000935,0.003086,0.006049,0.001131,0.001000,0.001003,0.002157,0.002438,0.000584,0.000297
13800,0.000567,0.001022,0.003078,0.007334,0.001138,0.001002,0.001002,0.002128,0.002431,0.000697,0.000294
13900,0.000626,0.001014,0.003083,0.006936,0.001146,0.000996,0.001000,0.002143,0.002239,0.000676,0.000296
14000,0.000611,0.000994,0.003081,0.006775,0.001149,0.001001,0.001002,0.002115,0.002399,0.000634,0.000298
14100,0.000597,0.000996,0.003073,0.006230,0.001144,0.000999,0.001000,0.002099,0.002477,0.000514,0.000313
14200,0.000643,0.001009,0.003081,0.006980,0.001140,0.000999,0.000998,0.002154,0.002150,0.000677,0.000309
14300,0.000591,0.000938,0.003071,0.006830,0.001126,0.001003,0.001000,0.002136,0.002392,0.000614,0.000300
14400,0.000594,0.000929,0.003084,0.006748,0.001143,0.001000,0.001000,0.002142,0.002793,0.000646,0.000286
14500,0.000595,0.000985,0.003079,0.005491,0.001135,0.000996,0.000997,0.002117,0.002484,0.000612,0.000286
14600,0.000592,0.000923,0.003082,0.006946,0.001141,0.001002,0.000999,0.002119,0.002664,0.000642,0.000304
14700,0.000570,0.001028,0.003076,0.008177,0.001123,0.000999,0.001003,0.002088,0.002574,0.000678,0.000306
14800,0.000576,0.000944,0.003087,0.006545,0.001141,0.001001,0.001000,0.002151,0.002903,0.000674,0.000312
14900,0.000593,0.001038,0.003079,0.007384,0.001142,0.001002,0.000999,0.002162,0.002393,0.000639,0.000304
15000,0.000585,0.000957,0.003083,0.006556,0.001122,0.000999,0.001000,0.002136,0.002196,0.000770,0.000303
15100,0.000581,0.001005,0.003077,0.006574,0.001150,0.000998,0.000998,0.002175,0.002363,0.000710,0.000310
15200,0.000590,0.000940,0.003079,0.006770,0.001142,0.000998,0.001000,0.002145,0.002554,0.000566,0.000312
15300,0.000582,0.000976,0.003088,0.008226,0.001140,0.001005,0.001004,0.002131,0.002558,0.000644,0.000306
15400,0.000594,0.000986,0.003078,0.005363,0.001130,0.001000,0.001001,0.002141,0.002588,0.000585,0.000304
15500,0.000573,0.000918,0.003078,0.006591,0.001126,0.000998,0.000998,0.002138,0.002602,0.000643,0.000290
15600,0.000574,0.000899,0.003081,0.007021,0.001137,0.001001,0.001001,0.002145,0.002576,0.000724,0.000310
15700,0.000579,0.001050,0.003075,0.006363,0.001139,0.001004,0.001003,0.002117,0.002557,0.000664,0.000305
15800,0.000593,0.000989,0.003081,0.006126,0.001144,0.000999,0.000997,0.002179,0.002507,0.000686,0.000299
15900,0.000589,0.000949,0.003081,0.007937,0.001138,0.001002,0.001002,0.002107,0.002890,0.000655,0.000298
16000,0.000574,0.000861,0.003083,0.006566,0.001153,0.001001,0.001001,0.002116,0.002583,0.000724,0.000290
16100,0.000617,0.000962,0.003075,0.006570,0.001136,0.000999,0.000998,0.002121,0.002513,0.000607,0.000298
16200,0.000597,0.000905,0.003086,0.007405,0.001145,0.001001,0.000999,0.002147,0.002719,0.000581,0.000287
16300,0.000582,0.000940,0.003076,0.006745,0.001136,0.000999,0.001002,0.002147,0.002321,0.000678,0.000306
